id,city_name,content,nick_name,score
252,上海,太好看了！！！为什么只能打10分，给100分都不够！！充满了惊喜，你们自己看就知道了，先不剧透了,麦马🐔,5.0
253,深圳,熬夜值了！！！！,Tia554181148,4.5
254,临漳,啧啧怎么说.不开心,ZHAOKAI.,5.0
255,新密,挺好 全部复活了 最后遗憾的是队长死了,玲玲521...,5.0
256,灯塔,漫威很良心了,WangSen,5.0
257,佛山,特效还行，剧情太拖。睡了大半场,kayee2222,3.0
258,扬州,辣鸡电影再也不看了,bTY928049113,0.5
259,南京,好看的一比 吹爆美队,他的猫很傲娇,5.0
260,长沙,不用多说，必须满分,JXM268406701,5.0
261,宜昌,我能说什么呢 太让人民失望了 垃圾,Vbi491120580,0.5
262,上海,漫威粉丝，五星好评,烟雨楼丶,5.0
263,合肥,整个电影院看了半小时热不行。无语,qmy343974560,5.0
264,成都,感动  精彩  ,特马斯,5.0
265,中山,不错不错不错,wie995244022,5.0
266,南昌,美队抡雷神之锤太帅了,霸气侧漏,5.0
267,东莞,超级烂片，强忍着看了前面两个小时，终于忍不住要走人，没看过那么烂的片，***的那么贵,红宝堂红木，张生,0.5
268,成都,难看 难看 难看,a👌o,0.5
269,常州,好好好好好好好  美国大片就是美国大片,未来、战士,5.0
270,遵化,又臭又长，为了拍电影而硬拼凑的剧情，是所有复联里最差劲的一部，带着情怀勉强看完。,cxdlly,3.0
271,深圳,有失必有得，我们的钢铁侠,FhY124505120,5.0
272,儋州,我还没看呢 但是在我心中就是完美！,K6849,5.0
273,嵊州,很好很不错qwq,喵言喵语猫不理,5.0
274,西安,最燃的，最回忆的。,okQ535455869,5.0
275,遂宁,期望太高 就这样,iVE224344317,2.5
276,广州,"全场都在等彩蛋 到底有没有 
美国队长你个糟老头子坏的很！",🐾Jackie郭美男,5.0
277,中山,"美国片还是讲特效吧。伦剧情中国比你好多了
3小时。居然开始走剧情路了？",_qqzh81433767422,0.5
278,郑州,"剧情满分
满足期待零分",肆丶小调,2.5
279,永康,I AM IRON MAN,微醺1993,5.0
280,天津,此生无悔入漫威,Maple枫Leaf,5.0
