,name,link,category,imgs,sellDate,price,size,source
65,BanG Dream! 12th☆LIVE DAY1:Poppin'Party「Welcome to Poppin'Land」 タオル,https://bang-dream.com/goods/3531,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/78fea234-a0a7-4b59-bac3-f83a2db6164b.jpg,2023年11月03日 (金),2420円（税込）,約W860×H340mm,イベント商品
66,ぽぴばん！のおでかけ in Summer トートバッグ ポピパみんなで描きました☆,https://bang-dream.com/goods/3432,かばん類,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/04cd1002-e43a-4e42-9ca4-6af1e1166586.jpg,2023年08月11日 (金),2750円（税込）,約H390×W380×D110mm,イベント商品
67,BanG Dream! 12th☆LIVE DAY1:Poppin'Party「Welcome to Poppin'Land」 ポッピンランドに行ってきました前髪クリップセット,https://bang-dream.com/goods/3540,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/2e7fd2f1-3dd3-49aa-bb40-1a799328cea2.jpg,2023年11月03日 (金),1540円（税込）,約60×50mm以内,イベント商品
68,BanG Dream! 10th☆LIVE 記念キーホルダー,https://bang-dream.com/goods/3135,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1d38b3d3-1dba-4f7e-bbd4-29a8321e40af.jpg,2022年09月22日 (木),各1650円（税込）,ラバーキーホルダー：約W70~101×H35~52mm以内 /アクリルチャーム：約W55×H36mm以内,イベント商品 全4種
69,BanG Dream! Special☆LIVE Girls Band Party! 2020→2022 フルカラーTシャツ Morfonica,https://bang-dream.com/goods/3192,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/a11ce7f6-6d42-4cfc-81b0-14881ac7ff22.jpg,2022年11月12日 (土),各6600円（税込）,フリーサイズ,イベント商品 全5種
70,BanG Dream! ガールズバンドパーティ！ トレーディングホログラム缶バッジ ミニキャラ 2022 Winter ver.,https://bang-dream.com/goods/3241,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/9b052910-d836-4e9c-97aa-e77db7ef4a37.jpg,2022年12月17日 (土),550円,直径：約56mm,イベント商品 全7種
71,BanG Dream! ガールズバンドパーティ！ トレーディング缶バッジ Letter ver.,https://bang-dream.com/goods/3307,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/a3a9b672-032b-4c3e-a041-8f65948fa6d7.jpg,2023年04月01日 (土),550円（税込）,直径：約54mm,トレーディング、全14種
72,Ave Mujica 0th LIVE「Primo die in scaena」 Tシャツ,https://bang-dream.com/goods/3370,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/fda84331-1b4b-4437-b943-bd5f61edc7d8.jpg,2023年06月04日 (日),3850円（税込）,Mサイズ／Lサイズ／XLサイズ,イベント商品
73,BanG Dream! 10th☆LIVE 法被 Poppin'Party,https://bang-dream.com/goods/3159,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/b2107745-f95e-4b70-9dfa-a632b8c191b8.jpg,2022年09月24日 (土),各11000円（税込）,,イベント商品 全5種
74,BanG Dream! It's MyGO!!!!! アクリルスタンド,https://bang-dream.com/goods/3439,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/f5f33d9f-e979-4f60-852e-60c9228b8a32.jpg,2023年08月05日 (土),各1650円（税込）,本体：約W100×H150mm　台座：約W60×H60mm,一般商品 全5種
75,Roselia アーティストアクリルスタンド vol.1,https://bang-dream.com/goods/3512,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c27fa738-8e80-4b33-99d2-c48b79780be9.jpg,2023年11月04日 (土),各1760円（税込）,本体：約W55~165×H115~130mm　 台座：約W50~110mm×H25mm以内  ※メンバーによって異なります。,イベント商品 全5種
76,Ave Mujica 0th LIVE「Primo die in scaena」 ステッカー,https://bang-dream.com/goods/3373,ブロマイド・ステッカー・シール,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/db75c184-d665-4453-a620-fc56cde8e4e9.jpg,2023年06月04日 (日),550円（税込）,約W60×H70mm,イベント商品
