,name,category,note,author,url,downloads,votes,comments
95,下载  Store 今日推荐素材,工具,下载 5k 高清封面和视频,61,https://www.icloud.com/shortcuts/98277de4c9c648498f554f935a2bb09a,6006,46,33
96,网页暗色模式,工具,Duang 的一下，页面就支持暗色模式啦,Alen,https://www.icloud.com/shortcuts/a20b815d09a145ba889305ca1ee0e624,5294,45,11
97,AppLocker,工具,谁说苹果就不能有应用锁？,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/c990cfddf5a74286bee28b20c1ccfa59,4523,44,12
98,小红书 下载助手,社交,小红书app图片.视频一键下载！,chao_H_L,https://www.icloud.com/shortcuts/9c4b4ced043b47b6ba0ccc5beff85bf7,7530,44,14
99,YouTube图标生成器,娱乐,一键快速生成类似 YouTube 图标风格的图片。,空一格,https://www.icloud.com/shortcuts/28b3b64a9b3a42e8b5dcffcdcc84c3cb,2067,44,9
100,Bilibili视频下载,工具,如标题,𝙆𝙖𝙩,https://www.icloud.com/shortcuts/c07f71c28f6845f1afde96c257370c8c,8401,44,7
101,TestFlight公测中心,效率,海量的公测APP下载安装，列表云端自动更新,Kim,https://www.icloud.com/shortcuts/02a4688cdb1542f58a6b41285fa4c69c,8702,43,35
102,App Store 地区切换,工具,苹果应用商店所在地区一键切换，支持所有iOS系统版本,DC,https://www.icloud.com/shortcuts/665ff24ad42a4e6aa388aa8c983f9f48,9396,43,16
103,「早安｜晚安」13版,生活,「iOS13专版」早上好捷径 [农历时间]、「天气」、[网易云音乐]比抖音版本更好用.,小悟空,https://www.icloud.com/shortcuts/c805df42118143ab8c03719f6a7e85e7,7981,42,61
104,吉他和弦图,音乐,用于查询吉他和弦图，输入名称获取图片,纪连,https://www.icloud.com/shortcuts/2dfd02f6b9664239ac8ade970143700b,1412,42,8
105,StoreSwitcher,工具,自带 Apple ID ，畅享外国水果商店！,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/f71396d0806f4ae8a9a287e401dd8233,6157,41,33
106,早安Siri,生活,"【520特别版】优化运行效率,支持9种AI人声播放,多达30+模块任你自由搭配!（1182个步骤）",Marin9090,https://www.icloud.com/shortcuts/1e75892c68f243acb4a37e029f6265bd,8316,41,66
107,步数修改,娱乐,计步，权当一乐。,初寒,https://www.icloud.com/shortcuts/1664f93efaa348a59fa063cd1eb48168,6882,41,5
108,图片分割成九宫格,工具,可以设置行数和列数,Alen,https://www.icloud.com/shortcuts/53ca290e5cb34eb494fa7bd6521ea6a4,5218,41,13
109,网红iPhone动态酷炫运营商文字设置,工具,修改运营商文字又突然火了起来，并且变成动态运营商文字，像弹幕一样的，看起来很有意哦～,追逐梦想43版本,https://www.icloud.com/shortcuts/d706df79db5f44a590ced917652f8352,7900,40,37
110,度盘助手,工具,一键获取度盘分享链接的密码并自动填充到密码框。【新增复制链接运行捷径的使用场景，效果见视频】,黑悟空,https://www.icloud.com/shortcuts/7dabe7ff09a4473aa4f48a610f8063fd,4133,40,4
111,改变网页视频播放速度,工具,让网页视频变速播放，注意部分非标准网页可能无效。,纪连,https://www.icloud.com/shortcuts/bb2aa817532d4eb3b353da56b574aaca,3391,40,6
112,无限震动（慎用！）,工具,"史上最变态的捷径（之一😂）
（iOS12可用版本在详细介绍处）",꧁IT Man꧂,https://www.icloud.com/shortcuts/5d915c31d6ce47caa8158c31bfa0e522,4006,39,35
113,iOS13「自动化」,效率,小悟空教你玩iOS13快捷指令「自动化」：1.定时运行 2.打开APP时运行 3.连接蓝牙时运行 …,小悟空,https://www.icloud.com/shortcuts/36a6968a7a774ff184879e7fd0f5c993,3887,39,38
114,微信圆头像,社交,换上圆头像，你就是朋友圈里最靓的仔,小悟空,https://www.icloud.com/shortcuts/a4101ad9320842dd91505ea22b6542c9,7492,39,15
115,聚合热搜榜,效率,内置50+平台热搜榜，聚合热搜，大大小小新闻事让你跟随潮流,清风不识字,https://www.icloud.com/shortcuts/4c6bcf4ac74345579d80d4265d9b899e,4618,39,11
116,国际抖音直装版,工具,国际版抖音，可自由切换国家，支持4G、WiFi均可观看,追逐梦想43版本,https://www.icloud.com/shortcuts/967f498b05f14cdf96aa43c73231997f,11683,39,11
