id,forks,repo_name,repo_url,stars,task,watchers
244,13195,Pierian-Data/Complete-Python-3-Bootcamp,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,3621,complete,3621
245,545,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,3605,pycodestyle,3605
246,199,jorgebucaran/fisher,https://github.com/jorgebucaran/fisher,3545,fisher,3545
247,427,upx/upx,https://github.com/upx/upx,3530,upx,3530
248,316,maebert/jrnl,https://github.com/maebert/jrnl,3505,jrnl,3505
249,723,fzaninotto/uptime,https://github.com/fzaninotto/uptime,3505,uptime,3505
250,374,mscdex/ssh2,https://github.com/mscdex/ssh2,3419,ssh,3419
251,753,Manabu-GT/ExpandableTextView,https://github.com/Manabu-GT/ExpandableTextView,3407,expand,3407
252,116,busyloop/lolcat,https://github.com/busyloop/lolcat,3400,lolcat,3400
253,426,dart-lang/sdk,https://github.com/dart-lang/sdk,3342,sdk,3342
254,431,OptiKey/OptiKey,https://github.com/OptiKey/OptiKey,3314,opt,3314
255,1717,spesmilo/electrum,https://github.com/spesmilo/electrum,3310,electrum,3310
256,1415,inuyaksa/jquery.nicescroll,https://github.com/inuyaksa/jquery.nicescroll,3291,nice,3291
257,798,vishnubob/wait-for-it,https://github.com/vishnubob/wait-for-it,3286,wait,3286
258,172,visit1985/mdp,https://github.com/visit1985/mdp,3284,mdp,3284
259,779,aboul3la/Sublist3r,https://github.com/aboul3la/Sublist3r,3224,subl,3224
260,650,erincatto/Box2D,https://github.com/erincatto/Box2D,3212,box,3212
261,366,Quick/Nimble,https://github.com/Quick/Nimble,3180,nimble,3180
262,300,defunkt/gist,https://github.com/defunkt/gist,3173,gist,3173
263,210,grosser/parallel,https://github.com/grosser/parallel,3172,parallel,3172
264,926,bytedeco/javacv,https://github.com/bytedeco/javacv,3162,javac,3162
265,1714,apigy/selfstarter,https://github.com/apigy/selfstarter,3134,roll,3134
266,617,mattn/go-sqlite3,https://github.com/mattn/go-sqlite3,3117,sqlite3,3117
267,1315,chromium/chromium,https://github.com/chromium/chromium,3093,chromium,3093
268,416,thoughtbot/clearance,https://github.com/thoughtbot/clearance,3078,clear,3078
269,674,commercialhaskell/stack,https://github.com/commercialhaskell/stack,3032,stack,3032
270,108,json5/json5,https://github.com/json5/json5,3007,json5,3007
271,731,pypa/virtualenv,https://github.com/pypa/virtualenv,3000,virtualenv,3000
272,204,cujojs/most,https://github.com/cujojs/most,2996,most,2996
273,1036,intljusticemission/react-big-calendar,https://github.com/intljusticemission/react-big-calendar,2990,gcal,2990
274,170,cruisediary/Pastel,https://github.com/cruisediary/Pastel,2958,paste,2958
275,75,variadico/noti,https://github.com/variadico/noti,2950,noti,2950
276,253,orakaro/rainbowstream,https://github.com/orakaro/rainbowstream,2936,rainbowstream,2936
277,286,voormedia/rails-erd,https://github.com/voormedia/rails-erd,2920,rails-generate,2920
278,1007,nmap/nmap,https://github.com/nmap/nmap,2859,nmap,2859
279,479,sullo/nikto,https://github.com/sullo/nikto,2850,nikto,2850
280,122,astoilkov/jsblocks,https://github.com/astoilkov/jsblocks,2824,mv,2824
281,700,conda/conda,https://github.com/conda/conda,2803,conda,2803
282,599,clientIO/joint,https://github.com/clientIO/joint,2769,join,2769
283,187,pyenv/pyenv-virtualenv,https://github.com/pyenv/pyenv-virtualenv,2763,pyenv-virtualenv,2763
284,387,play/play,https://github.com/play/play,2743,play,2743
285,492,chrismiles/CMPopTipView,https://github.com/chrismiles/CMPopTipView,2731,cmp,2731
286,185,tianon/gosu,https://github.com/tianon/gosu,2707,exec,2707
287,191,emcrisostomo/fswatch,https://github.com/emcrisostomo/fswatch,2681,fswatch,2681
288,241,ariok/BWWalkthrough,https://github.com/ariok/BWWalkthrough,2650,bw,2650
289,312,tapio/live-server,https://github.com/tapio/live-server,2641,live-server,2641
290,54,sharkdp/hyperfine,https://github.com/sharkdp/hyperfine,2634,hyperfine,2634
291,242,Kozea/WeasyPrint,https://github.com/Kozea/WeasyPrint,2605,weasyprint,2605
292,1315,apache/cordova-android,https://github.com/apache/cordova-android,2600,cordova,2600
293,1404,gcc-mirror/gcc,https://github.com/gcc-mirror/gcc,2553,gcc,2553
294,2408,poole/hyde,https://github.com/poole/hyde,2486,column,2486
295,358,KittyKatt/screenFetch,https://github.com/KittyKatt/screenFetch,2475,screenfetch,2475
296,92,decaffeinate/decaffeinate,https://github.com/decaffeinate/decaffeinate,2468,decaffeinate,2468
297,110,anishathalye/git-remote-dropbox,https://github.com/anishathalye/git-remote-dropbox,2426,git-remote,2426
298,109,zkat/npx,https://github.com/zkat/npx,2422,npx,2422
299,348,tboox/tbox,https://github.com/tboox/tbox,2404,tb,2404
300,673,doxygen/doxygen,https://github.com/doxygen/doxygen,2393,doxygen,2393
301,184,libfuse/sshfs,https://github.com/libfuse/sshfs,2388,sshfs,2388
302,2093,qemu/qemu,https://github.com/qemu/qemu,2372,qemu,2372
303,339,rust-lang/rustup.rs,https://github.com/rust-lang/rustup.rs,2351,rustup,2351
304,410,NixOS/nix,https://github.com/NixOS/nix,2321,nix,2321
305,6705,MicrosoftDocs/azure-docs,https://github.com/MicrosoftDocs/azure-docs,2315,az,2315
306,195,3lvis/Sync,https://github.com/3lvis/Sync,2311,sync,2311
307,1346,llvm-mirror/clang,https://github.com/llvm-mirror/clang,2295,clang,2295
308,591,lua/lua,https://github.com/lua/lua,2287,lua,2287
309,1511,MasteringOpenCV/code,https://github.com/MasteringOpenCV/code,2241,code,2241
310,314,splitrb/split,https://github.com/splitrb/split,2241,split,2241
311,756,andelf/fuck12306,https://github.com/andelf/fuck12306,2238,fuck,2238
312,786,dankogai/js-base64,https://github.com/dankogai/js-base64,2230,base64,2230
313,1097,Kitware/CMake,https://github.com/Kitware/CMake,2230,cmake,2230
314,376,seebi/dircolors-solarized,https://github.com/seebi/dircolors-solarized,2194,dircolors,2194
315,397,rust-lang/rustfmt,https://github.com/rust-lang/rustfmt,2117,rustfmt,2117
316,594,ghc/ghc,https://github.com/ghc/ghc,2112,ghc,2112
317,656,danmar/cppcheck,https://github.com/danmar/cppcheck,2109,cppcheck,2109
318,855,ryanb/dotfiles,https://github.com/ryanb/dotfiles,2097,git-config,2097
319,562,esnet/iperf,https://github.com/esnet/iperf,2096,iperf,2096
320,562,esnet/iperf,https://github.com/esnet/iperf,2096,iperf3,2096
321,461,cowrie/cowrie,https://github.com/cowrie/cowrie,2052,telnet,2052
322,327,yesodweb/yesod,https://github.com/yesodweb/yesod,2050,yes,2050
323,327,yesodweb/yesod,https://github.com/yesodweb/yesod,2050,yesod,2050
324,180,substack/node-mkdirp,https://github.com/substack/node-mkdirp,2047,mkdir,2047
325,581,maurosoria/dirsearch,https://github.com/maurosoria/dirsearch,2045,dirs,2045
326,166,flitbit/diff,https://github.com/flitbit/diff,2020,diff,2020
327,379,composer/satis,https://github.com/composer/satis,2009,satis,2009
328,263,nefarius/ScpToolkit,https://github.com/nefarius/ScpToolkit,1999,scp,1999
329,212,ashtuchkin/iconv-lite,https://github.com/ashtuchkin/iconv-lite,1960,iconv,1960
330,946,drush-ops/drush,https://github.com/drush-ops/drush,1951,drush,1951
331,265,irssi/irssi,https://github.com/irssi/irssi,1935,irssi,1935
332,1305,docker-library/php,https://github.com/docker-library/php,1925,php,1925
333,220,diafygi/gethttpsforfree,https://github.com/diafygi/gethttpsforfree,1885,geth,1885
334,102,mhagger/git-imerge,https://github.com/mhagger/git-imerge,1877,git-imerge,1877
335,102,mhagger/git-imerge,https://github.com/mhagger/git-imerge,1877,git-merge,1877
336,428,killbill/killbill,https://github.com/killbill/killbill,1869,kill,1869
337,751,openstreetmap/iD,https://github.com/openstreetmap/iD,1861,id,1861
338,131,XAMPPRocky/tokei,https://github.com/XAMPPRocky/tokei,1847,tokei,1847
339,1313,remy/mit-license,https://github.com/remy/mit-license,1786,license,1786
340,101,arc90/git-sweep,https://github.com/arc90/git-sweep,1778,git-clean,1778
341,648,pieter/gitx,https://github.com/pieter/gitx,1765,gitk,1765
342,629,cloudfoundry/bosh,https://github.com/cloudfoundry/bosh,1747,bosh,1747
343,148,sebastianbergmann/phpcpd,https://github.com/sebastianbergmann/phpcpd,1740,phpcpd,1740
